State,Total Winter All Loss (%),Beekeepers,Beekeepers Exclusive to State (%),Colonies,Colonies Exclusive to State (%),Year
Virginia,32.5,621,98.2,4426,90.6,2018-2019
District of Columbia,33.5,11,54.5,301,13.6,2018-2019
Maine,35.2,71,100,460,100,2018-2019
South Dakota,35.4,14,50,53017,0.1,2018-2019
Connecticut,36.8,36,100,190,100,2018-2019
New Jersey,36.9,66,92.4,749,86.5,2018-2019
Kansas,38.1,30,90,758,48.4,2018-2019
New Hampshire,38.1,43,100,333,100,2018-2019
Montana,39,26,76.9,40427,0.2,2018-2019
Minnesota,39.3,108,88.9,27012,2.4,2018-2019
Utah,40.5,116,97.4,1643,35.6,2018-2019
New Mexico,41.9,20,95,117,98.3,2018-2019
Pennsylvania,43.4,674,98.2,6300,92.1,2018-2019
Tennessee,45.3,68,95.6,1164,95.2,2018-2019
Texas,46.2,140,83.6,142475,28.1,2018-2019
Delaware,46.8,15,93.3,126,85.7,2018-2019
Illinois,54.6,108,96.3,951,96.5,2018-2019
,56,5,80,352,3.4,2018-2019
Iowa,61.8,83,96.4,857,97.2,2018-2019
Louisiana,62.8,8,87.5,13102,0.7,2018-2019
Nevada,65.5,15,100,119,100,2018-2019
